"2011-2012","lower","Kump,","WVL000128"
"2011-2012","lower","Campbell T.","WVL000084"
"2011-2012","lower","Barker,","WVL000065"
"2011-2012","upper","Plymale,","WVL000010"
"2011-2012","lower"," Ellem,","WVL000049"
"2011-2012","lower"," Manypenny,","WVL000113"
"2011-2012","upper"," Klempa,","WVL000001"
"2011-2012","lower"," Butcher,","WVL000066"
"2011-2012","upper"," Green,","WVL000020"
"2011-2012","lower"," Overington,","WVL000131"
"2011-2012","upper"," Stollings,","WVL000013"
"2011-2012","lower","Phillips R.","WVL000067"
"2011-2012","lower","Mr. Speaker (Mr. Thompson),","WVL000064"
"2011-2012","lower"," Savilla,","WVL000056"
"2011-2012","lower"," Moye,","WVL000080"
"2011-2012","lower"," Mr. Speaker (Mr. Thompson)","WVL000064"
"2011-2012","lower"," Sigler,","WVL000102"
"2011-2012","lower"," Sobonya,","WVL000061"
"2011-2012","upper"," Wills,","WVL000022"
"2011-2012","upper"," Barnes,","WVL000031"
"2011-2012","upper"," McCabe,","WVL000016"
"2011-2012","lower"," Walker,","WVL000100"
"2011-2012","lower","Smith,","WVL000106"
"2011-2012","lower","Perry,","WVL000086"
"2011-2012","lower","andes,","WVL000055"
"2011-2012","lower"," Longstreth,","WVL000115"
"2011-2012","upper","Kessler (Acting President)","WVL000004"
"2011-2012","lower"," D. Poling,","WVL000050"
"2011-2012","lower"," M. Poling,","WVL000108"
"2011-2012","lower"," O'Neal,","WVL000081"
"2011-2012","lower"," Rodighiero,","WVL000068"
"2011-2012","lower"," Armstead,","WVL000097"
"2011-2012","upper","Yost,","WVL000002"
"2011-2012","upper"," K. Facemyer,","WVL000007"
"2011-2012","lower"," Mr. Speaker (Mr. Thompson),","WVL000064"
"2011-2012","lower","Moye,","WVL000080"
"2011-2012","lower"," D. Campbell,","WVL000104"
"2011-2012","lower","Guthrie,","WVL000090"
"2011-2012","lower"," R. Phillips,","WVL000067"
"2011-2012","lower"," Reynolds,","WVL000060"
"2011-2012","upper"," Boley,","WVL000005"
"2011-2012","lower"," Mahan,","WVL000079"
"2011-2012","upper"," Nohe,","WVL000006"
"2011-2012","lower","Talbott,","WVL000103"
"2011-2012","lower","Hamilton,","WVL000107"
"2011-2012","lower"," Boggs,","WVL000101"
"2011-2012","lower","Rowan,","WVL000126"
"2011-2012","upper"," D. Facemire,","WVL000025"
"2011-2012","lower"," Lawrence,","WVL000134"
"2011-2012","lower"," Guthrie,","WVL000090"
"2011-2012","lower"," Manchin,","WVL000116"
"2011-2012","upper"," Minard,","WVL000026"
"2011-2012","lower"," Rowan,","WVL000126"
"2011-2012","lower"," Lane,","WVL000098"
"2011-2012","lower"," Marshall,","WVL000119"
"2011-2012","lower","T. Campbell,","WVL000084"
"2011-2012","upper"," Kessler (Acting President)","WVL000004"
"2011-2012","lower"," Howell,","WVL000125"
"2011-2012","lower","Manchin,","WVL000116"
"2011-2012","upper"," Helmick,","WVL000032"
"2011-2012","upper"," Edgell,","WVL000003"
"2011-2012","lower"," Fragale,","WVL000110"
"2011-2012","lower","Lane,","WVL000098"
"2011-2012","upper"," Sypolt,","WVL000029"
"2011-2012","lower","Walker,","WVL000100"
"2011-2012","lower"," Storch,","WVL000040"
"2011-2012","lower","Nelson,","WVL000093"
"2011-2012","lower"," Canterbury,","WVL000085"
"2011-2012","lower","Hunt,","WVL000092"
"2011-2012","upper"," Browning,","WVL000019"
"2011-2012","upper"," Jenkins,","WVL000009"
"2011-2012","upper"," Beach,","WVL000027"
"2011-2012","lower"," Romine,","WVL000044"
"2011-2012","lower"," Martin,","WVL000053"
"2011-2012","lower","Speaker Thompson","WVL000064"
"2011-2012","lower"," Sumner,","WVL000083"
"2011-2012","lower"," Caputo,","WVL000114"
"2011-2012","lower"," Azinger,","WVL000048"
"2011-2012","lower","White,","WVL000071"
"2011-2012","lower"," Michael,","WVL000123"
"2011-2012","upper"," Unger,","WVL000034"
"2011-2012","upper"," Prezioso,","WVL000028"
"2011-2012","lower","Fleischauer,","WVL000118"
"2011-2012","upper","Sypolt,","WVL000029"
"2011-2012","lower"," Walters,","WVL000099"
"2011-2012","lower","Mr. Speaker (Mr. Thompson)","WVL000064"
"2011-2012","lower","Poore,","WVL000096"
"2011-2012","lower"," Ellington,","WVL000076"
"2011-2012","lower","Manypenny,","WVL000113"
"2011-2012","lower"," Smith,","WVL000106"
"2011-2012","lower","Phillips L.","WVL000073"
"2011-2012","upper"," Yost,","WVL000002"
"2011-2012","lower","Pethtel,","WVL000043"
"2011-2012","lower"," Skaff,","WVL000094"
"2011-2012","lower","Walker D.","WVL000100"
"2011-2012","upper","K. Facemyer,","WVL000007"
"2011-2012","lower"," Nelson,","WVL000093"
"2011-2012","lower","Andes,","WVL000055"
"2011-2012","lower"," White,","WVL000071"
"2011-2012","upper"," Kessler (Acting President),","WVL000004"
"2011-2012","lower"," Duke,","WVL000130"
"2011-2012","lower"," Snuffer,","WVL000082"
"2011-2012","upper","Snyder,","WVL000033"
"2011-2012","lower"," Staggers,","WVL000088"
"2011-2012","lower"," Pasdon,","WVL000120"
"2011-2012","lower"," Kominar,","WVL000070"
"2011-2012","lower","Longstreth,","WVL000115"
"2011-2012","lower"," Andes,","WVL000055"
"2011-2012","lower","Doyle,","WVL000133"
"2011-2012","upper","Unger,","WVL000034"
"2011-2012","upper","Prezioso,","WVL000028"
"2011-2012","lower"," Shaver,","WVL000122"
"2011-2012","lower","Michael,","WVL000123"
"2011-2012","lower","Campbell D.","WVL000104"
"2011-2012","lower"," Stowers,","WVL000069"
"2011-2012","lower"," Householder,","WVL000132"
"2011-2012","lower"," Paxton,","WVL000054"
"2011-2012","lower"," C. Miller,","WVL000058"
"2011-2012","lower"," Gearheart,","WVL000075"
"2011-2012","upper"," Tucker,","WVL000024"
"2011-2012","lower"," Varner,","WVL000042"
