"INSURANCE","Insurance ",
"SMART METERS LIMITED","Transportation",
"SMART METER PRIVACY","Transportation",
"SMALL GAME AND BIRDS","Animal Rights and Wildlife Issues ",
"SMALL FOOD PRODUCERS","Agriculture and Food ",
"SMALL CLAIMS","Legal Issues",
"SMALL BUSINESS TO RETAIN 5 PERCENT","Business and Consumers ",
"SMALL BUSINESS RELIEF","Business and Consumers ",
"SMALL BUSINESS INVESTMENT DEPRECIAT","Business and Consumers ",
"SMALL BUSINESS","Business and Consumers ",
"SLOT MACHINE REVENUE","Gambling and Gaming ",
"SITING FOR TURBINES","Energy",
"SIGNS FOR SMALL BUSINESSES","Business and Consumers ",
"SICK LEAVE","Labor and Employment",
"SHORTER LAYOFF NOTICE PERIOD","Labor and Employment",
"SHORT TERM FUNDING","Budget, Spending, and Taxes",
"SHOOTING FROM MOTORBOAT","Transportation","Crime"
"SHARED LIVING PROGRAMS","Housing and Property",
"SEX OFFENDER RESIDENCE","Crime",
"SEWER DISTRICT COLLECTION PROCEDURE","Environmental",
"SEVERING JOINT TENANCY","Housing and Property",
"SERVICES IN HOSPITALS","Health",
"SENIOR HOUSING IN NEWPORT, SEED MON","Senior Issues ",
"SENATORS ELECTED BY COUNTY","Campaign Finance and Election Issues ",
"SELF-SERVICE STORAGE","Business and Consumers ",
"SELF INSURANCE","Insurance ",
"SEED CAPITAL TAX CREDIT","Budget, Spending, and Taxes",
"SECONDARY OFFENSE","Crime ",
"SEAWALL","Environmental",
"SEAT BELTS","Transportation",
"SEASONAL FARM WORK EXEMPT","Agriculture and Food ",
"SEASONAL ENTERTAINMENT FACILITIES","Recreation",
"SEASONAL COTTAGES EXEMPT FROM CODE","Housing and Property",
"SEARCHES AND SEIZURES","Crime",
"SEAFOOD PROCESSING EXEMPT FROM WAST","Agriculture and Food ",
"SEAFOOD BULK SALES WORLDWIDE","Agriculture and Food ",
"SCOPE OF WORK EXPANDED","Labor and Employment",
"SCIENCE, TECHNOLOGY, ENGINEERING, M","Science and Medical Research","Technology and Communication"
"SCIENCE, TECH, MATH AND ENGINEERING","Technology and Communication",
"SCIENCE ADVISORY BOARD","Science and Medical Research",
"SCHOOLS, PENALTIES ENHANCED","Education",
"SCHOOLS AND LIBRARIES","Education",
"SCHOOLCHILDREN WELLBEING STAKEHOLDE","Education",
"SCHOOL DISTRICTS","Education",
"SCHOOL DAY","Education",
"SCHOOL CHOICE","Education",
"SCHOOL BUS","Education",
"SCHOLARSHIP GRANT ORGANIZATION","Education",
"SAVAGE COMPANIES","Business and Consumers ",
"SANFORD SEWERAGE DISTRICT","Environmental",
"SAND DUNES","Environmental",
"SALTWATER RECREATIONAL FISHING LICE","Agriculture and Food ",
"SALTWATER FISHING LICENSE FOR DOCK","Agriculture and Food ",
"SALT WATER FISHING REGISTRY","Agriculture and Food ",
"SALMON","Agriculture and Food ",
"SALES TO NONPROFIT ANIMAL SHELTERS","Animal Rights and Wildlife Issues ",
"SALES TO MINORS","Family and Children Issues",
"SALES TAX HOLIDAYS","Budget, Spending, and Taxes",
"SALES TAX FREE DAY FOR ENERGY EFFIC","Budget, Spending, and Taxes",
"SALE OF RAW MILK","Agriculture and Food ",
"SALE OF LAND IN SCARBOROUGH","Housing and Property",
"SALARIES FOR ADMINISTRATORS","Labor and Employment",
"SAFE DRINKING WATER","Environmental",
"RUSSIAN OLIVE, PROHIBIT SALES","Agriculture and Food ",
"RT 2 IN LINCOLN MASTER SGT GARY GOR","Transportation",
"RT 1 FROM MADAWASKA TOWARDS VAN BUR","Transportation",
"RT 1 AND MANKTOWN RD IN WALDOBORO A","Transportation",
"RSU 12, NO SCHOOL CHOICE K-8","Transportation",
"ROTATIONAL GRAZING","Agriculture and Food ","Animal Rights and Wildlife Issues"
"ROAD AND BRIDGE CONSTRUCTION","Transportation",
"RIVERS","Environmental",
"RIGHTS-OF-WAY","Transportation",
"RIGHTS OF PROPERTY OWNERS","Housing and Property",
"RIGHTS OF MENTALLY ILL PERSONS","Health ",
"RIGHTS OF EMPLOYEES","Labor and Employment",
"RETIREMENT INCOME","Labor and Employment",
"RETIREMENT AGE 65","Labor and Employment",
"RESTROOMS","Public Services",
"RESTRICTIONS ON COYOTES REMOVED","Animal Rights and Wildlife Issues ",
"RESTITUTION REPAYMENTS","Legal Issues",
"RESTITUTION","Legal Issues",
"RESOURCE SHARING AMONG LIBRARIES","Public Services",
"RESIDENTIAL STRUCTURE HEIGHT","Housing and Property",
"RESIDENTIAL RETROFITS AT POINT OF S","Housing and Property",
"RESIDENCY REQUIREMENT","Housing and Property",
"RESIDENCES","Housing and Property",
"RESIDENCE INSURED FOR LESS THAN VAL","Housing and Property",
"REQUIRED BY ADULTS ON HIGHWAYS","Transportation",
"REPORTING REQUIREMENTS TO LEGISLATU","Legislative Affairs ",
"REPORTERS OF ABUSE","Legal Issues",
"REPORT ON RETENTION AND GRADUATION","Education",
"REPLACEMENT MEDICAL EXAM INFORMATIO","Health",
"REPAIR RED IRON BRIDGE IN FRYEBURG","Transportation",
"RENTAL VEHICLES","Transportation",
"RENT FOR OFFICE SPACE","Labor and Employment",
"RENEWABLE ENERGY CREDIT MULITIPLIER","Energy",
"RELIEF IF 67 OR OLDER","Senior Issues ",
"REINSTATEMENT OF PARENTAL RIGHTS","Family and Children Issues",
"REINSTATEMENT OF JOINT TENANCY","Housing and Property",
"REIMBURSEMENT TO TOWNS AND COUNTIES","Municipal and County Issues ",
"REIMBURSEMENT TO CONVENIENCE STORES","Business and Consumers ",
"REIMBURSEMENT OF COLLEGE CREDIT TUI","Education",
"REGULATIONS UPDATED","Legal Issues",
"REGULATIONS ON STATE LAND","Legal Issues",
"REGULATIONS AND OVERSIGHT","Legal Issues",
"REGULATED SURVEILLANCE TECHNOLOGY","Technology and Communication",
"REGISTRATION FOR SELECTIVE SERVICE","Military ",
"REGISTER TO VOTE","Campaign Finance and Election Issues ",
"REGIONAL TRANSMISSION ORGANIZATION","Municipal and County Issues ",
"REGIONAL REVOLVING LOAN FUND","Municipal and County Issues ",
"REGIONAL LAND USE PLANS","Municipal and County Issues ",
"REGIONAL INTERSTATE COLLABORATION","Municipal and County Issues ",
"REGIONAL ENTITIES CREATED AND FUNDE","Municipal and County Issues ",
"REFUSING TO ACCEPT WORK","Labor and Employment",
"REDUCED REGULATIONS","Legal Issues",
"REDUCED FOR ELDERLY","Senior Issues ",
"RECREATIONAL VEHICLES","Transportation","Recreation"
"RECREATIONAL FISHING","Animal Rights and Wildlife Issues ","Recreation"
"RECREATIONAL DEVELOPMENT","Recreation",
"RECREATIONAL AND COMMERCIAL CLAM FL","Recreation",
"RECIPROCITY WITH NH","Federal, State, and Local Relations ",
"RECIPROCITY AGREEMENTS","Federal, State, and Local Relations ",
"REAUTHORIZE 2005 BIOMEDICAL RESEARC","Science and Medical Research",
"REAL PROPERTY IN ROCKWOOD AND SINCL","Housing and Property",
"RANKED CHOICE VOTING","Campaign Finance and Election Issues ",
"RANDOM DRUG TESTING","Drugs ",
"RAIL SERVICE IN NORTHERN MAINE","Transportation",
"RAIL LINES IN WESTERN MAINE","Transportation",
"RADON REGISTRATION","Environmental",
"RACINO OPERATOR FACILITIES","Gambling and Gaming ",
"RABIES VACCINATIONS BETWEEN ME AND","Health",
"QUASI-MUNICIPAL","Municipal and County Issues ",
"PUSH POLLING","Campaign Finance and Election Issues ",
"PURCHASES","Budget, Spending, and Taxes",
"PURCHASE","Budget, Spending, and Taxes",
"PUBLIC WORKS","Public Services",
"PUBLIC WAYS","Public Services",
"PUBLIC WATER SYSTEMS","Public Services",
"PUBLIC UTILITY VEHICLE COLLECTION","Public Services",
"PUBLIC SAFETY DEPT","Public Services",
"PUBLIC SAFETY","Public Services",
"PUBLIC GUARDIANSHIP","Public Services",
"PUBLIC DANCE ESTABLISHMENTS","Public Services",
"PUBLIC ACCOMMODATIONS","Public Services",
"PSYCHOLOGISTS","Health ",
"PSEUDOEPHEDRIN","Drugs ",
"PROVIDING LIQUOR TO MINOR","Family and Children Issues",
"PROTESTS","Civil Liberties and Civil Rights ",
"PROTESTERS DISPLAYING GRAPHIC IMAGE","Civil Liberties and Civil Rights ",
"PROTECTIVE SERVICES","Public Services",
"PROTECTION OF STATE OWNED DEER WINT","Animal Rights and Wildlife Issues ",
"PROTECTED","Housing and Property",
"PROPERTY TRANSFER","Housing and Property",
"PROPERTY MAINTENANCE","Housing and Property",
"PROPERTY IMPROVEMENTS REVOLVING LOA","Housing and Property",
"PROPERTY DEPOSITED WITH MUSEUMS AND","Housing and Property",
"PROPERTY DAMAGE","Housing and Property",
"PROPERTY ACCESS","Housing and Property",
"PROOF OF RESIDENCY","Housing and Property",
"PROOF OF CITIZENSHIP","Immigration ",
"PROMOTE ME PRODUCTS AND BUSINESSES","Business and Consumers ",
"PROHIBITED WHILE DRIVING","Transportation",
"PROHIBITED AT VETERANS CLUBS","Military",
"PROGRAMS AND TEACHER TRAINING","Education",
"PROFESSIONAL AND OCCUPATIONAL LICEN","Labor and Employment",
"PROFESSIONAL AND FINANCIAL REG. DEP","Labor and Employment",
"PROCESS TO RAISE TAXES","Budget, Spending, and Taxes",
"PROCEEDS TO WITNESS FEES, PROSECUTO","Legal Issues",
"PROCEEDS TO CLEAN ELECTIONS FUND","Campaign Finance and Election Issues ",
"PRIVATE WAYS","Business and Consumers ",
"PRIVATE PRISONS","Crime",
"PRIVATE FACILITIES","Business and Consumers ",
"PRIVACY ISSUES","Civil Liberties and Civil Rights ",
"PRIORITY TREATMENT IN COURTS","Legal Issues",
"PRIORITY TO ARMORIES IN LEASING SPA","Housing and Property",
"PRIORITY CHEMICAL PROGRAM REVISED","Environmental",
"PRIOR FELONY,  INCREASED ACCOUNTABI","Crime",
"PRIOR CRIMINAL CONVICTIONS","Crime",
"PRINCIPAL AND INCOME ACT","Labor and Employment",
"PRESCRIPTION DRUG COST REDUCED","Drugs ",
"PREMIUM ON BULK MOTOR OIL","Transportation","Energy"
"PREFERENCE POINTS FOR SMALL BUSINES","Business and Consumers ",
"PREDATORY PRACTICES CONCERNING ELDE","Senior Issues ",
"PRACTICES BY PHARMACIES","Health","Drugs"
"POWER OF ATTORNEY","Legal Issues",
"POWER EQUIPMENT, MACHINERY,  APPLIA","Technology and Communication",
"POTATOES","Agriculture and Food ",
"POTATO BOARD","Agriculture and Food ",
"POST SECONDARY INSTITUTION COMPETIT","Education",
"POST CONVICTION DNA","Crime",
"POSITIVE REENTRY PAROLE","Crime",
"PORTABLE ELECTRONIC DEVICES","Technology and Communication",
"PORT OF EASTPORT TAX EXEMPT FOR BON","Budget, Spending, and Taxes",
"POPULAR ELECTION","Campaign Finance and Election Issues ",
"POLYBROMINATED DIPHENYL ETHERS","Drugs ",
"POLLING PLACES","Campaign Finance and Election Issues ",
"POLITICAL PARTIES","Campaign Finance and Election Issues ",
"PLUMBERS","Labor and Employment",
"PLAYING FIELDS AND GROUNDS","Recreation",
"PLAN OF CARE ESTIMATE PRIOR TO TREA","Health",
"PILOT PROJECT IN 3 SCHOOLS","Education",
"PHILIP WOLLEY, LITIGATION EXPENSES","Legal Issues",
"PHARMACY FUNDING ELIMINATED","Health ","Drugs "
"PHARMACY BENEFITS MANAGER","Health","Drugs"
"PHARMACY BENEFIT MANAGERS","Health","Drugs"
"PHARMACIST CERTIFICATION","Health","Drugs"
"PHARMACIES AT WHOLESALE ACQUISITION","Health","Drugs"
"PETS CAUSE DAMAGE","Animal Rights and Wildlife Issues ",
"PERSONS WITH DISABILITIES","Health ",
"PERSONAL PROPERTY TAX","Housing and Property","Budget, Spending, and Taxes "
"PERSONAL MORTGAGES","Housing and Property",
"PERSONAL LEAVE PAID UPON TERMINATIO","Labor and Employment",
"PERMITS TO CLEARCUT FOR FARM PURPOS","Agriculture and Food ",
"PERMISSION TO INTERVIEW MINOR","Family and Children Issues",
"PERMANENT IMPAIRMENT DETERMINATION","Health ",
"PERFORMING ARTS ORGANIZATIONS","Arts and Humanities",
"PENALTIES FOR ELECTION VIOLATIONS","Campaign Finance and Election Issues ",
"PEAKS ISLAND FROM PORTLAND","Environmental",
"PAYROLL PROCESSORS","Labor and Employment",
"PAYMENT OF MEDICAL BILLS","Health",
"PATIENTS RIGHTS","Health",
"PARTY STATUS REQUIREMENTS","Campaign Finance and Election Issues ",
"PARTICIPATION IN PUBLIC SCHOOLS","Education",
"PAROLE","Crime ",
"PARKINSONS DISEASE TRAINING","Health ",
"PARK ST BRIDGE, PRESQUE ISLE, GOLD","Transportation",
"PARENTAL REQUIRED IF MINOR","Family and Children Issues",
"PARENT TRIGGER","Family and Children Issues",
"PACS GIVE FUNDS TO CLEAN ELECTION F","Campaign Finance and Election Issues ",
"OYSTER GROWING PERMITS","Animal Rights and Wildlife Issues ",
"OXFORD REVENUE TO NONPROFITS","Budget, Spending, and Taxes",
"OVERTIME FOR EGG FARM WORKERS","Agriculture and Food ",
"OVERSIGHT BY ME FUEL BOARD","Energy",
"OVER USE AND ABUSE OF OPIOIDS","Drugs ",
"OUTDOOR WOOD BOILERS","Environmental",
"OUTDOOR SPORTS, FUNDS","Recreation",
"ORTHOTICS","Health",
"ORGANIZED RETAIL THEFT","Crime ",
"ORGAN DONATIONS","Health ",
"ORAL HEALTH PRACTITIONER","Health",
"OPEN PITTSFIELD AND SCENIC OVERLOOK","Environmental",
"OPEN BURNING","Environmental",
"ONLINE TEXTBOOKS","Education",
"ONLINE SELLERS","Business and Consumers ",
"ONE STATE PSYCHIATRIC HOSPITAL","Health ",
"ONE PERCENT FOR FOOD IN NEW CONSTRU","Agriculture and Food ",
"OLD CAMPAIGN DEBT EXEMPT","Campaign Finance and Election Issues ",
"OFFENDER REGISTRY 2 TIERED","Crime",
"OFFENDER INFO TO ALL SCHOOL PERSONN","Crime","Education"
"OCCUPATIONAL HEALTH","Health",
"OBSERVING STUDENTS","Education",
"NUTRITIONAL WELLNESS AND PREVENTION","Health ",
"NUTRITION INFO ON MENUS","Health",
"NURSING HOMES","Health",
"NURSE OF THE DAY","Resolutions ",
"NUMBER REQUIRED FOR RESTAURANTS","Agriculture and Food ",
"NUMBER ONE POND IN SANFORD","Environmental",
"NUISANCE LAWS","Legal Issues",
"NOTICE TO LANDLORD OF CANCELLATION","Housing and Property",
"NOTICE TO HOMEOWNERS OF SEWER LIEN","Housing and Property",
"NOTICE TO 3RD PARTY IF ELDERLY","Senior Issues ",
"NOTARIES PUBLIC","Legal Issues",
"NORTHERN MAINE ENERGY MARKETS","Energy",
"NORTHERN MAINE","Municipal and County Issues ",
"NONRESIDENTS WHO WORK IN ME GET RES","Labor and Employment",
"NONRESIDENTS MAY HUNT ON FIRST DAY","Animal Rights and Wildlife Issues ",
"NONRESIDENT, FELONY CONVICTION OVER","Crime",
"NONRESIDENT AND RETIRED LAW ENFORCE","Labor and Employment",
"NONPROFIT YOUTH ORGANIZATIONS","Family and Children Issues",
"NONPROFIT WITH GOVT FUNDING COMPETI","Budget, Spending, and Taxes",
"NONCUSTODIAL PARENT","Family and Children Issues",
"NONBANK MORTGAGE LENDING FEES","Housing and Property",
"NONADMITTED AND REINSURANCE REFORM","Insurance ",
"NO PENALTY ON BACK TAXES IF UNEMPLO","Budget, Spending, and Taxes",
"NO LANDOWNER PERMISSION NEEDED IN N","Housing and Property",
"NEW HIRES","Labor and Employment",
"NEUROPSYCHOLOGICAL SERVICES","Health",
"NET ENERGY BILLING","Energy",
"NET CARBON","Environmental",
"NAVIGATION","Transportation",
"NATL RIFLE ASSOCIATION","Guns ",
"NATIVE AMERICANS HUNTING ON OWN LAN","Indigenous Peoples","Animal Rights and Wildlife Issues"
"NATIONAL GUARD","Military",
"NAMED OVER KENNEBEC RIVER BETWEEN B","Environmental",
"MUST USE WOOD PELLETS IF RECIEVE AS","Environmental",
"MUNICIPAL WITHDRAWAL","Municipal and County Issues ",
"MUNICIPAL SOLID WASTE RECYCLING","Municipal and County Issues ",
"MUNICIPAL SERVICE FEE, RULE REVIEW","Municipal and County Issues ",
"MUNICIPAL PLANS REVIEW","Municipal and County Issues ",
"MULTIPLE EMPLOYER WELFARE ARRANGEME","Labor and Employment","Welfare and Poverty"
"MT DESERT ISLAND RSD FY AND ANNUAL","Environmental",
"MRSA PATIENT PROTECTIONS","Health",
"MRSA CASES REPORTED","Health",
"MOVIE THEATERS","Recreation",
"MOUNTAIN DIVISION RAIL LINE","Transportation",
"MOTORBOATS ON LILY POND PROHIBITED","Transportation",
"MOTOR VEHICLES, FORMULA REVISED","Transportation",
"MOTOR VEHICLES, DEDICATED PORTION T","Transportation",
"MOTOR VEHICLES, BASIS","Transportation",
"MOTOR VEHICLES EXEMPTIONS","Transportation",
"MOTOR VEHICLE LIMITED","Transportation",
"MOTOR VEHICLE CORE PARTS","Transportation",
"MOTOR VEHICLE BUREAU","Transportation",
"MOTION PICTURE DISTRIBUTION REGULAT","Recreation",
"MOOSE RESEARCH FUND","Animal Rights and Wildlife Issues ",
"MOOSE PERMITS TO NATIVE AMERICAN TR","Animal Rights and Wildlife Issues ",
"MOOSE PERMITS","Animal Rights and Wildlife Issues ",
"MOOSE PERMIT AUCTION FOR OUTFITTERS","Animal Rights and Wildlife Issues ",
"MOOSE BIOLOGIST POSITION REINSTATED","Animal Rights and Wildlife Issues ",
"MOISTURE CONTENT OF FIREWOOD RULES","Environmental",
"MODELS FOR TEACHERS AND PRINCIPALS","Education",
"MODEL BUSINESS CORP ACT","Business and Consumers ",
"MISSION STATEMENT FOR EACH SCHOOL","Education",
"MINIMUM INCOME INCREASED","Labor and Employment",
"MINI COBRA LAW EXTENDED","Animal Rights and Wildlife Issues ",
"MILITARY PENSIONS","Military",
"MILITARY PAY","Military",
"MILITARY AND OVERSEAS VOTERS ACT","Military",
"METHAMPHETAMINE PRODUCTION","Drugs ",
"MERCURY AMALGAM USE","Environmental",
"MERCURY ADDED MOTOR VEHICLES COMPON","Environmental",
"MENTAL HEALTH POSITIONS IN STATE GO","Health",
"MENTAL HEALTH PARITY STUDY","Health",
"MENTAL HEALTH INSTITUTIONS","Health",
"MEDICATION THERAPY MANAGEMENT","Health",
"MEDICAL WASTES","Health",
"MEDICAL RISKS","Health",
"MEDICAL PROFESSIONAL HEALTH PROGRAM","Health",
"MEDICAL EXAMINER","Health",
"MEDICAL CHILD SUPPORT","Health",
"MEDICAL CARE PROVIDERS","Health",
"MEDICAL CARE","Health",
"MEDIATION TO SOLVE TAX DISPUTES","Budget, Spending, and Taxes",
"MEDIATION REQUIRED","Legal Issues",
"MECHANICS","Labor and Employment",
"MECHANICAL SYSTEM BUILDING EXEMPT F","Technology and Communication",
"MAY NOT ENDORSE CANDIDATES FOR OFFI","Campaign Finance and Election Issues ",
"MAY HONOR PRESCRIPTIONS FROM OTHER","Health",
"MATERNITY SERVICES","Reproductive Issues ",
"MASTER ELECTRICIANS","Labor and Employment",
"MARRIAGE AND FAMILY THERAPISTS ELIG","Family and Children Issues",
"MARRIAGE AND FAMILY THERAPISTS","Family and Children Issues",
"MARIJUANA SEIZED USED BY CLINICS","Health","Drugs"
"MARIJUANA POSSESSION","Drugs ",
"MARIJUANA INCLUDED IN MONITORING PR","Drugs ",
"MARIJUANA CULTIVATION","Drugs ",
"MAPLE PRODUCTS","Agriculture and Food ",
"MANDATORY RADON TESTING","Environmental",
"MANAGEMENT IN YOUTH SPORTS","Family and Children Issues",
"MAN MADE WETLANDS","Environmental",
"MAINTENANCE OF RESIDENTIAL","Housing and Property",
"MAINTENANCE OF EXISTING STRUCTURES","Public Services",
"MAINTENANCE DREDGING OF HARBORS","Public Services",
"MAINE STREET DEVELOPMENT BANK","Business and Consumers ",
"MAINE DOWNTOWN CENTER","Business and Consumers ",
"MAGNESIUM CHLORIDE REGULATION","Environmental","Drugs"
"LOWER ANDROSCOGGIN RIVER","Environmental",
"LOTTERIES","Gambling and Gaming ",
"LONG TERM SUPPLY AGREEMENTS PROHIBI","Business and Consumers ",
"LOGGING COMPANIES HIRE ME WORKERS","Labor and Employment",
"LOCKED IN VEHICLES","Transportation",
"LOCAL FOOD PRODUCTS USED","Agriculture and Food ",
"LOBSTER TRAP STORAGE ON DOCKS","Agriculture and Food ",
"LOANS AND GRANTS FOR YOUNG ENTREPRE","Business and Consumers ",
"LIVESTOCK","Agriculture and Food ","Animal Rights and Wildlife Issues"
"LIVEABLE WAGE PAID OR NO TAX BREAKS","Labor and Employment","Budget, Spending, and Taxes "
"LIQUIFIED PETROLEUM GAS","Energy",
"LINEWORKERS EXEMPT","Labor and Employment",
"LIMITED INTRAFAMILY TRANSFERS","Family and Children Issues",
"LIMITATION OF ACTIONS","Legal Issues",
"LIHEAP TO PREPURCHASE OIL","Energy",
"LIFT TEAMS AT HOSPITALS","Health",
"LIFETIME FEES, INFANTS","Family and Children Issues",
"LIENS","Legal Issues",
"LIENHOLDERS RIGHTS","Legal Issues",
"LIEN PROCESS FOR UNPAID WATER RATES","Legal Issues",
"LICENSING REPORT TO ANIMAL CONTROL","Animal Rights and Wildlife Issues ",
"LIBRARIES","Public Services",
"LESS EXPENSIVE HEALTH INSURANCE ALT","Insurance ",
"LEGALIZED MARIJUANA","Health","Legal Issues "
"LEGAL NOTICE PUBLICATION","Legal Issues",
"LEGAL FOREIGN LOGGING WORKERS","Labor and Employment",
"LEGAL AGE RAISED TO 21","Legal Issues",
"LEASING TATOO ARTISTS","Labor and Employment",
"LEASING RAILROAD CROSSINGS","Transportation",
"LEAD TESTING","Environmental",
"LEAD BASE PAINT DISCLOSURE REQUIREM","Environmental","Health "
"LANGUAGE ARTS AND MATH STANDARDS","Education",
"LANDOWNERS ROAD ACCESS","Housing and Property",
"LANDOWNERS","Housing and Property",
"LANDOWNER RELATIONS","Housing and Property",
"LANDOWNER PERMISSION REQUIRED","Housing and Property",
"LANDOWNER EXPLUSION","Housing and Property",
"LANDLOCKED SALMON STUDY","Agriculture and Food ","Animal Rights and Wildlife Issues"
"LANDING OF DRAG CRABS PERMITTED","Animal Rights and Wildlife Issues ",
"LAND SURVEYORS","Environmental",
"LAND CONVEYANCES","Environmental",
"LABOR MARKET FACTOR OUT","Labor and Employment",
"KNOWLEDGE OF LIMITED GUARDIANSHIP","Family and Children Issues",
"KENNELS","Animal Rights and Wildlife Issues ",
"KATAHDIN ON I95 IMPROVED","Transportation",
"JUVENILE COURT","Legal Issues","Family and Children Issues"
"JUVENILE CODE","Family and Children Issues","Legal Issues "
"JUST COMPENSATION CLAIMS","Labor and Employment","Legal Issues "
"JURISDICTION OF VICTIM RESIDENCE","Housing and Property",
"JURISDICTION","Legal Issues",
"JUDICIAL REVIEW","Judiciary ",
"JUDGES","Judiciary ",
"JSC ON IFW EXAMINE DIFW PROPERTY","Housing and Property",
"JSC ON HEALTH CARE COSTS","Health",
"JOBS SUBSIDIES","Labor and Employment",
"JOB CREATION STUDY","Labor and Employment",
"JOB CREATION INCENTIVES","Labor and Employment",
"JOB AND BUSINESS GROWTH","Labor and Employment",
"JET SKIS BANNED ON ALLEN POND, GREE","Recreation",
"JAPANESE MINI VEHICLES","Transportation",
"JAIL REVENUE","Crime",
"INVASIVE SPECIES","Animal Rights and Wildlife Issues ",
"INVASIVE PLANTS","Environmental",
"INTRASTATE COMMERCE ACT","Transportation",
"INTERSTATE MONITORING PROGRAM COMPA","Trade ",
"INTERNET SALES OF BEER AND WINE","Technology and Communication",
"INTERNET PURCHASES","Technology and Communication",
"INTERN EMPLOYMENT","Labor and Employment",
"INSURANCE PRODUCERS","Insurance ",
"INSURANCE FRAUD DIVISION","Insurance ",
"INSTANT RUN-OFF FOR GOVERNOR","Campaign Finance and Election Issues ",
"INSTALLERS CONTINUING EDUCATION","Education",
"INSPECTION BY TOWNS AND SCHOOLS EXE","Education",
"INITIATING LAWSUITS","Legal Issues",
"INFORMATION SYSTEMS","Technology and Communication",
